naics3,model,count,observed,expected
493,zinb,10+,1267.0,1279.758986897963
452,poisson,0,1590.0,1331.5337111599758
452,poisson,1,1208.0,1164.3751449957092
452,poisson,2,807.0,817.3682646775611
452,poisson,3,660.0,611.1404038318864
452,poisson,4,489.0,504.5183812681435
452,poisson,5,432.0,434.65553066395904
452,poisson,6,326.0,380.4111778615881
452,poisson,7,346.0,339.3318832287039
452,poisson,8,318.0,311.2421249162197
452,poisson,9,329.0,294.7750281420736
452,poisson,10+,3139.0,3454.6483492541797
452,nb2,0,1590.0,1484.7262379285444
452,nb2,1,1208.0,1222.146625424403
452,nb2,2,807.0,860.6000119627496
452,nb2,3,660.0,642.101680591097
452,nb2,4,489.0,521.2884457054928
452,nb2,5,432.0,447.269211258535
452,nb2,6,326.0,396.2214082992662
452,nb2,7,346.0,358.4255732225377
452,nb2,8,318.0,329.1503780585547
452,nb2,9,329.0,305.37470520228334
452,nb2,10+,3139.0,3076.695722346536
452,zip,0,1590.0,1413.9874797142697
452,zip,1,1208.0,1138.9681968420437
452,zip,2,807.0,800.0361749773049
452,zip,3,660.0,599.1526045062094
452,zip,4,489.0,497.8389705868648
452,zip,5,432.0,432.4113215010875
452,zip,6,326.0,380.68418674880536
452,zip,7,346.0,340.3407204651423
452,zip,8,318.0,311.91317762986256
452,zip,9,329.0,294.65710726943524
452,zip,10+,3139.0,3434.010059758975
452,zinb,0,1590.0,1505.5376651806678
452,zinb,1,1208.0,1211.6782879959617
452,zinb,2,807.0,854.0420470381896
452,zinb,3,660.0,637.2896709696699
452,zinb,4,489.0,517.7466309471093
452,zinb,5,432.0,444.597593723945
452,zinb,6,326.0,394.1593421779836
452,zinb,7,346.0,356.9071549157112
452,zinb,8,318.0,328.21171579438374
452,zinb,9,329.0,305.05633473733616
452,zinb,10+,3139.0,3088.7735565190414
491,poisson,0,1197.0,1521.308918059303
491,poisson,1,2981.0,1854.2100617734036
491,poisson,2,1434.0,1615.0877856116263
491,poisson,3,910.0,1192.4457235351622
491,poisson,4,624.0,837.7715013870975
491,poisson,5,478.0,593.3234363377662
491,poisson,6,332.0,427.468044786181
491,poisson,7,263.0,309.4800298365386
491,poisson,8,216.0,222.6062376119416
491,poisson,9,169.0,158.56805853067254
491,poisson,10+,656.0,527.7302025303071
491,nb2,0,1197.0,1884.1137645163635
491,nb2,1,2981.0,1886.881541907998
491,nb2,2,1434.0,1484.3108214121146
491,nb2,3,910.0,1066.1936113087638
491,nb2,4,624.0,747.3692769904452
491,nb2,5,478.0,527.1393851785317
491,nb2,6,332.0,378.312409590725
491,nb2,7,263.0,276.6764600448848
491,nb2,8,216.0,205.75049906175735
491,nb2,9,169.0,155.1419064504989
491,nb2,10+,656.0,648.1103235379171
491,zip,0,1197.0,1664.0074784051233
491,zip,1,2981.0,1768.4325899194375
491,zip,2,1434.0,1560.2864535603678
491,zip,3,910.0,1165.6044734290545
491,zip,4,624.0,827.8755275716251
491,zip,5,478.0,593.4304009345461
491,zip,6,332.0,433.3199891266445
491,zip,7,263.0,317.7182429860081
491,zip,8,216.0,230.6983541258299
491,zip,9,169.0,165.08336175015648
491,zip,10+,656.0,533.5431281912064
491,zinb,0,1197.0,1884.1150358172238
491,zinb,1,2981.0,1886.8808657756563
491,zinb,2,1434.0,1484.3105097457578
491,zinb,3,910.0,1066.1934334038147
491,zinb,4,624.0,747.3691665207137
491,zinb,5,478.0,527.1393297737245
491,zinb,6,332.0,378.3123975245559
491,zinb,7,263.0,276.67647535243304
491,zinb,8,216.0,205.750526914822
491,zinb,9,169.0,155.1419363548301
491,zinb,10+,656.0,648.1103228164686
484,poisson,0,3150.0,2408.1481639234853
484,poisson,1,1661.0,1950.461049759373
484,poisson,2,1156.0,1355.3188261086877
484,poisson,3,748.0,892.538305007941
484,poisson,4,501.0,593.2086505139001
484,poisson,5,371.0,407.12902761061133
484,poisson,6,284.0,288.26453917137167
484,poisson,7,190.0,209.46511775357445
484,poisson,8,159.0,155.92484750175308
484,poisson,9,128.0,118.96062713638233
484,poisson,10+,579.0,547.5808455129205
484,nb2,0,3150.0,3132.1453707574747
484,nb2,1,1661.0,1809.668118573418
484,nb2,2,1156.0,1105.1437431886256
484,nb2,3,748.0,711.7870130478327
484,nb2,4,501.0,481.019841008362
484,nb2,5,371.0,339.2068901746561
484,nb2,6,284.0,248.1046392982418
484,nb2,7,190.0,187.1169967311551
484,nb2,8,159.0,144.75144975750948
484,nb2,9,128.0,114.3567099236981
484,nb2,10+,579.0,653.6992275390265
484,zip,0,3150.0,3004.9039444852815
484,zip,1,1661.0,1577.2350477707641
484,zip,2,1156.0,1196.8283496125848
484,zip,3,748.0,843.8749497336245
484,zip,4,501.0,584.1129654446281
484,zip,5,371.0,408.65308529022735
484,zip,6,284.0,291.41851132751145
484,zip,7,190.0,211.86949350915467
484,zip,8,159.0,157.0639135511693
484,zip,9,128.0,118.92379743082051
484,zip,10+,579.0,532.1159418442336
484,zinb,0,3150.0,3147.517230356457
484,zinb,1,1661.0,1786.639613848546
484,zinb,2,1156.0,1103.375121111967
484,zinb,3,748.0,713.8892282690406
484,zinb,4,501.0,483.2540609374674
484,zinb,5,371.0,340.9457518475854
484,zinb,6,284.0,249.37350056693595
484,zinb,7,190.0,188.03289694224148
484,zinb,8,159.0,145.41340186481148
484,zinb,9,128.0,114.83562050430737
484,zinb,10+,579.0,653.7235737506403
236,poisson,0,4679.0,3405.7000191320635
236,poisson,1,1494.0,2146.4810912259877
236,poisson,2,762.0,1217.5665062127187
236,poisson,3,435.0,659.3223871674508
236,poisson,4,274.0,361.0962517346819
236,poisson,5,175.0,206.1636217980081
236,poisson,6,106.0,123.75556987291955
236,poisson,7,112.0,77.60948663345847
236,poisson,8,62.0,50.233293629696654
236,poisson,9,38.0,33.228801139864345
236,poisson,10+,232.0,87.8429714531504
236,nb2,0,4679.0,4707.490831945856
236,nb2,1,1494.0,1481.7867761611722
236,nb2,2,762.0,732.4555140305948
236,nb2,3,435.0,423.3873834822315
236,nb2,4,274.0,266.99903426114935
236,nb2,5,175.0,178.5824574275121
236,nb2,6,106.0,124.7927145987799
236,nb2,7,112.0,90.25714292837803
236,nb2,8,62.0,67.13004615660152
236,nb2,9,38.0,51.104345431866484
236,nb2,10+,232.0,245.01375357585778
236,zip,0,4679.0,4601.0204855044485
236,zip,1,1494.0,1193.447252484235
236,zip,2,762.0,888.8562142627151
