naics3,size_band,n,n_with_metric,zero_share,hours_total,aggregate_trir,p10,p25,p50,p75,p90,p95,publishable
334,001-019,1435,1435,0.8898954703832752,28845951.0,1.5461442058193886,0.0,0.0,0.0,0.0,5.555555555555555,9.866462346546832,True
334,020-049,6045,6045,0.7389578163771712,387445621.0,1.3312835970857444,0.0,0.0,0.0,2.0572110389944354,4.592675648029346,6.899882710205947,True
334,050-099,5128,5128,0.5409516380655226,700651602.0,1.4475097139648017,0.0,0.0,0.0,1.9767047144961793,4.292940134193808,6.187932202352019,True
334,100-249,5701,5701,0.3345027188212594,1740126947.0,1.395530368739241,0.0,0.0,0.8554063821870175,2.0086640375486264,3.7283754225492145,5.096114849441657,True
334,1000+,1073,1073,0.06616961789375582,5243753505.0,0.5964048456926848,0.06769051919881258,0.18055490713416286,0.39349741937237875,0.7163696988642284,1.2250453125573668,1.7496721693715676,True
334,250-499,2696,2696,0.22959940652818991,1824844263.0,1.0625564270412482,0.0,0.22577668532150796,0.6764741183882936,1.50448437928807,2.74331512312618,3.7284274372537882,True
334,500-999,1413,1413,0.10332625619249823,1877330309.0,0.967011501011248,0.0,0.273972602739726,0.6705289132067375,1.3340421543980368,2.248300307206356,3.1211401391775766,True
335,001-019,700,700,0.8371428571428572,15447547.0,2.278678938474827,0.0,0.0,0.0,0.0,8.019978576336959,17.13682609395799,True
335,020-049,2846,2846,0.5657062543921293,182771096.0,2.594502141629659,0.0,0.0,0.0,3.961455379194476,7.9319440739887295,10.923113172455237,True
335,050-099,2584,2584,0.3270123839009288,361708316.0,2.835986773386764,0.0,0.0,1.8143551787669434,4.1418983060752,7.289290566958151,9.62411712352755,True
335,100-249,2984,2984,0.1400804289544236,949635962.0,2.7859096599797892,0.0,0.8530912606465508,2.0196529171465945,3.85053746310983,6.374505520167492,8.688102021007358,True
335,1000+,313,313,0.03194888178913738,1270550580.0,2.785406622694234,0.31867280923832436,0.892943956852948,1.834345365450003,2.927287131929054,4.978847796217265,5.961111075762315,True
335,250-499,1445,1445,0.06089965397923876,978936819.0,2.1263885059777285,0.28933229347307426,0.792862650420911,1.6361562482469754,2.9546287213548745,4.621769541320083,6.1260578155219125,True
335,500-999,524,524,0.02862595419847328,713447090.0,1.932589002500522,0.3335858958850134,0.7831614427989431,1.5247999220429527,2.650346541471066,3.9259388114035323,4.616900309843194,True
336,001-019,2044,2044,0.724559686888454,46464949.0,4.13214700827499,0.0,0.0,0.0,5.342558408517362,12.867861556512091,18.94328362824544,True
336,020-049,7440,7440,0.42849462365591395,479100659.0,4.436645953350692,0.0,0.0,2.662814467527618,6.63703965922967,12.225987479942038,16.934343731333314,True
336,050-099,7015,7015,0.23264433357091946,990274646.0,4.484210534862063,0.0,1.0622481476667098,3.1376814625779192,6.5795680229252325,11.013246181900874,14.974304236695492,True
336,100-249,9708,9708,0.111557478368356,3121744393.0,4.000199384677809,0.0,1.2272782234320827,3.0399872656543767,5.764836674430967,9.20172814356476,12.03584465537606,True
336,1000+,2132,2132,0.019699812382739212,13364717069.0,3.5172910700097066,0.30698023437906286,0.8058715055933113,2.14560551842274,4.433228596168187,7.254476041161312,9.974901126646651,True
336,250-499,5489,5489,0.05811623246492986,3852276088.0,3.248832563944726,0.37572416275410075,1.135845191872649,2.522099900377054,4.63624325209283,7.154180377007119,9.502967608415117,True
336,500-999,2879,2879,0.02605071205279611,3952577775.0,2.806016891090777,0.3993685655885532,0.9607095411590594,2.0884656651893674,3.8559810571339197,6.314614762310177,8.647761769372593,True
337,001-019,681,681,0.6563876651982379,16669356.0,4.571262381102185,0.0,0.0,0.0,6.410256410256411,15.16012886109532,23.676110804198565,True
337,020-049,3926,3926,0.37366276107997964,245884538.0,4.8754590660759645,0.0,0.0,3.309806813615034,7.404075507247567,12.865502195562883,16.69944465796945,True
337,050-099,2848,2848,0.136938202247191,397282804.0,5.256708770108258,0.0,1.8842922848046526,4.1199241323186655,7.479772857346765,11.437494884680238,14.730131588839441,True
337,100-249,2815,2815,0.06216696269982238,853444562.0,4.646113147300129,0.824756099859293,2.1025753019638147,3.8641203544686404,6.512832639918804,9.735830790030194,12.368365101978483,True
337,1000+,145,145,0.0,456590265.0,3.7784423634174504,0.8361931232576527,1.6372648017947697,3.1138945868834975,4.95627516858484,7.214079000003858,7.980249664021375,True
337,250-499,993,993,0.02920443101711984,658872244.0,4.468544587833632,1.0048288017273332,1.9457271831058995,3.437745297450912,5.828614726852257,8.98495918436886,11.087130936284115,True
337,500-999,400,400,0.02,520264128.0,3.16147109031511,0.7179783534855224,1.3612816928854454,2.369726736843311,4.480276621344611,7.448938161032157,8.92985429389973,True
339,001-019,3179,3179,0.8206983328090595,36055971.0,4.2544964327822425,0.0,0.0,0.0,0.0,16.0133254513658,39.201082085425945,True
339,020-049,5122,5122,0.5255759468957438,308802392.0,3.2635757562396086,0.0,0.0,0.0,4.853220479899097,9.255639489121982,13.119330893236365,True
339,050-099,3741,3741,0.3009890403635392,503727912.0,3.2307123771215602,0.0,0.0,2.081382037673015,4.786750275238141,8.161682939022027,10.977378758772101,True
339,100-249,3915,3915,0.15810983397190292,1182546328.0,2.8122365452053564,0.0,0.7712008683304712,2.0470095748872867,4.100310576611385,6.702859629057155,8.877869358412354,True
339,1000+,472,472,0.025423728813559324,1764500869.0,1.053555729362466,0.17005812173151724,0.3999411648274212,0.829161740515213,1.497244739027128,2.4795664662867205,3.4168507930420557,True
339,250-499,1862,1862,0.08163265306122448,1252062424.0,2.1834374609424425,0.25981586623859787,0.760455626334198,1.627151596775735,2.9983702725022763,4.814101620021434,6.3804314187973485,True
339,500-999,919,919,0.06746463547334058,1181827449.0,1.6824791145970412,0.1574257761148851,0.4717810199541237,1.1426307931381212,2.3350265532483494,4.437466271533714,5.786792416036072,True
342,1000+,1,1,0.0,2448441.0,0.4901077869550461,0.4901077869550461,0.4901077869550461,0.4901077869550461,0.4901077869550461,0.4901077869550461,0.4901077869550461,False
344,020-049,2,2,1.0,181334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
344,050-099,1,1,1.0,104602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
350,050-099,1,1,0.0,160000.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,False
351,001-019,7,7,1.0,20751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
352,020-049,3,3,0.6666666666666666,269315.0,0.7426248073816906,0.0,0.0,0.0,0.8602816562142446,1.3764506499427913,1.54850698118564,False
353,050-099,1,1,1.0,138518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
