naics3,model,count,observed,expected
455,zip,10+,508.0,516.4051398231395
455,zinb,0,10534.0,10150.327548337074
455,zinb,1,2286.0,2659.8852935139835
455,zinb,2,544.0,618.0416022217296
455,zinb,3,232.0,220.09966872747316
455,zinb,4,151.0,141.16200409903206
455,zinb,5,113.0,117.15356251824412
455,zinb,6,88.0,102.61274829339516
455,zinb,7,75.0,90.2179952450911
455,zinb,8,58.0,78.92710560317393
455,zinb,9,65.0,68.65953192383972
455,zinb,10+,508.0,406.9129395169649
444,poisson,0,3728.0,3839.8543428291678
444,poisson,1,2725.0,2515.6917851440953
444,poisson,2,1906.0,1653.5512298126664
444,poisson,3,1292.0,1377.4350094669114
444,poisson,4,1027.0,1182.8435610424349
444,poisson,5,793.0,921.0827025325557
444,poisson,6,554.0,636.134149437513
444,poisson,7,360.0,393.8049545829621
444,poisson,8,229.0,222.53517056974897
444,poisson,9,120.0,117.22230292241677
444,poisson,10+,264.0,137.84479165952823
444,nb2,0,3728.0,4194.837662428828
444,nb2,1,2725.0,2600.775795021429
444,nb2,2,1906.0,1627.1509579597325
444,nb2,3,1292.0,1168.4539256193023
444,nb2,4,1027.0,893.6515788681272
444,nb2,5,793.0,685.6333305298474
444,nb2,6,554.0,516.6179034327832
444,nb2,7,360.0,380.92077131499303
444,nb2,8,229.0,275.4086545247139
444,nb2,9,120.0,195.92763577175563
444,nb2,10+,264.0,458.62178452848804
444,zip,0,3728.0,4062.918904707439
444,zip,1,2725.0,2400.5766671956194
444,zip,2,1906.0,1566.4208459809215
444,zip,3,1292.0,1306.4157494653537
444,zip,4,1027.0,1144.3491868748406
444,zip,5,793.0,916.6491053560717
444,zip,6,554.0,652.863798615675
444,zip,7,360.0,416.88216115290084
444,zip,8,229.0,242.71759867751953
444,zip,9,120.0,131.3886798644864
444,zip,10+,264.0,156.81730210917254
444,zinb,0,3728.0,4193.791123438501
444,zinb,1,2725.0,2597.14146953875
444,zinb,2,1906.0,1626.5440862804085
444,zinb,3,1292.0,1169.858160445891
444,zinb,4,1027.0,895.9412065747443
444,zinb,5,793.0,687.8207529653547
444,zinb,6,554.0,518.2024756715093
444,zinb,7,360.0,381.8034251720708
444,zinb,8,229.0,275.70406092374736
444,zinb,9,120.0,195.81940386538736
444,zinb,10+,264.0,455.37383512363596
621,poisson,0,6478.0,6105.073754900099
621,poisson,1,2253.0,2744.788879887914
621,poisson,2,1207.0,1290.9207984980396
621,poisson,3,711.0,676.381397535034
621,poisson,4,428.0,405.48304260073365
621,poisson,5,323.0,271.935675245154
621,poisson,6,207.0,196.67676829546286
621,poisson,7,150.0,149.04457944841084
621,poisson,8,110.0,116.25170911500649
621,poisson,9,94.0,92.44946725072532
621,poisson,10+,709.0,620.9939272234199
621,nb2,0,6478.0,6675.107343607103
621,nb2,1,2253.0,2219.42582143928
621,nb2,2,1207.0,1081.3870374059006
621,nb2,3,711.0,624.868509690031
621,nb2,4,428.0,400.64880844213076
621,nb2,5,323.0,276.30516329056786
621,nb2,6,207.0,201.20964391632674
621,nb2,7,150.0,152.80051682103874
621,nb2,8,110.0,119.92498628786544
621,nb2,9,94.0,96.62719731447426
621,nb2,10+,709.0,821.6949717852817
621,zip,0,6478.0,6542.544959856388
621,zip,1,2253.0,2410.211627835837
621,zip,2,1207.0,1204.6461460848916
621,zip,3,711.0,650.7559444563095
621,zip,4,428.0,393.4196104476488
621,zip,5,323.0,264.17035590716665
621,zip,6,207.0,191.6749994412232
621,zip,7,150.0,146.42737060836924
621,zip,8,110.0,115.58019769542383
621,zip,9,94.0,93.1419241385044
621,zip,10+,709.0,657.4268635282385
621,zinb,0,6478.0,6664.148473711016
621,zinb,1,2253.0,2209.0332507121766
621,zinb,2,1207.0,1087.293871497927
621,zinb,3,711.0,629.557557568134
621,zinb,4,428.0,403.5517522620006
621,zinb,5,323.0,278.1139929265245
621,zinb,6,207.0,202.41504486149643
621,zinb,7,150.0,153.66978924010533
621,zinb,8,110.0,120.5956320777552
621,zinb,9,94.0,97.17011113700805
621,zinb,10+,709.0,824.4505240058568
424,poisson,0,4537.0,3058.77116996536
424,poisson,1,1824.0,2028.2953028376828
424,poisson,2,894.0,1297.2344586946479
424,poisson,3,564.0,835.6444460777974
424,poisson,4,375.0,566.1088871640609
424,poisson,5,259.0,410.20049458951047
424,poisson,6,229.0,314.44061546891504
424,poisson,7,170.0,250.4250142352484
424,poisson,8,140.0,204.55304039554332
424,poisson,9,135.0,170.18606941326385
424,poisson,10+,1203.0,1194.1405011579698
424,nb2,0,4537.0,4254.066429767455
424,nb2,1,1824.0,1887.9663550777911
424,nb2,2,894.0,1051.6205393584476
424,nb2,3,564.0,661.5702409761179
424,nb2,4,375.0,450.43261522466094
424,nb2,5,259.0,324.9599768963972
424,nb2,6,229.0,245.07814077469467
424,nb2,7,170.0,191.33441447656207
424,nb2,8,140.0,153.48935405065552
424,nb2,9,135.0,125.81079269723563
